Município;Cargo;Nome;Partido;Genero
PAUDALHO;VEREADOR;IRM√ÉO MIQUEAS;PSD;MASCULINO
TRACUNHA√âM;VEREADOR;DIGO DA MERCEDINHA;PSB;MASCULINO
TRACUNHA√âM;VEREADOR;WILZA;PP;FEMININO
SURUBIM;PREFEITO;CHAPARRAL;UNI√ÉO;MASCULINO
CAL√áADO;VEREADOR;DOGE;PP;MASCULINO
CH√É DE ALEGRIA;VEREADOR;CL√ÅUDIO HON√ìRIO;MDB;MASCULINO
QUIPAP√Å;VEREADOR;RODRIGO CORREIA;REPUBLICANOS;MASCULINO
SALO√Å;VEREADOR;MANOEL DE ARTUR;PSDB;MASCULINO
MORENO;VEREADOR;EVANDRO DA SA√öDE;PSD;MASCULINO
PAULISTA;VEREADOR;SUSY RACINHA;REPUBLICANOS;FEMININO
PAULISTA;VEREADOR;FERNANDA DE EDINHO;PL;FEMININO
PAULISTA;VEREADOR;DR VINICIUS CAMPOS;MDB;MASCULINO
PAULISTA;VEREADOR;JUNIOR DE IRM√É LINDA;UNI√ÉO;MASCULINO
SERRA TALHADA;VEREADOR;JAIME IN√ÅCIO;REPUBLICANOS;MASCULINO
SERRA TALHADA;VEREADOR;ANDR√â MAIO;AVANTE;MASCULINO
LAJEDO;VEREADOR;LUCIANO DA SA√öDE;PSB;MASCULINO
JATA√öBA;PREFEITO;DRA C√ÅTIA;PP;FEMININO
ITAPETIM;PREFEITO;ALINE;PSB;FEMININO
GARANHUNS;PREFEITO;SIVALDO ALBINO;PSB;MASCULINO
PARANATAMA;PREFEITO;DR HENRIQUE GOIS;MDB;MASCULINO
PO√á√ÉO;PREFEITO;GUILHERME VASCONCELOS;MDB;MASCULINO
BUENOS AIRES;VEREADOR;SIL DO POVO;PODE;MASCULINO
TEREZINHA;VEREADOR;DUD√â;PP;MASCULINO
ARCOVERDE;VEREADOR;LUCIANO PACH√äCO;MDB;MASCULINO
ARCOVERDE;VEREADOR;JO√ÉO MARCOS;PDT;MASCULINO
